millis, dt(10),fsr1,fsr1_calibrated,fsr2,fsr2_calibrated,fsr3,fsr3_calibrated,fsr4,fsr4_calibrated,fsr5,fsr5_calibrated,pos,vel,vel_filtered(exp=0.9),acc,acc_filtered(exp=0.9)
225,0.095,-6,-0.4301,-3,-0.2853,0,0.0647,-9,-0.5368,-11,-0.3732,1.9765,0.0,0.0,-0.5424,-0.5316
234,0.095,-21,-0.4899,12,-0.3084,-15,0.0562,-9,-0.5717,4,-0.4213,1.9765,0.0,0.0,0.0,-0.0532
243,0.095,-6,-0.5528,12,-0.3279,0,0.0452,-9,-0.6086,-11,-0.4692,1.9765,0.0,0.0,0.0,-0.0053
253,0.095,-21,-0.6185,102,-0.3346,0,0.0332,6,-0.6462,-11,-0.5183,1.9765,0.0,0.0,0.0,-0.0005
263,0.096,-21,-0.6883,-3,-0.3224,-15,0.0201,-9,-0.6831,4,-0.5684,1.9765,0.0,0.0,0.0,-0.0001
272,0.095,-21,-0.7634,-3,-0.3021,0,0.0048,-9,-0.7206,-11,-0.6183,1.9765,0.0,0.0,0.0,-0.0
281,0.095,-21,-0.8437,-3,-0.2834,0,-0.0115,-9,-0.7601,-11,-0.6691,1.9765,0.0,0.0,0.0,-0.0
291,0.095,-6,-0.9276,-18,-0.2674,0,-0.0273,-9,-0.8014,-11,-0.7222,1.9765,0.0,0.0,0.0,-0.0
301,0.096,-6,-1.0124,12,-0.2541,0,-0.0427,-9,-0.8445,4,-0.7763,1.9765,0.0,0.0,0.0,-0.0
310,0.095,-21,-1.098,12,-0.2395,-15,-0.059,-9,-0.8893,-11,-0.8299,1.9765,0.0,0.0,0.0,-0.0
319,0.094,-6,-1.1857,-3,-0.2223,15,-0.0762,-9,-0.9358,-11,-0.8843,1.9765,0.0,0.0,0.0,-0.0
328,0.094,-6,-1.2742,-3,-0.2052,0,-0.0915,-9,-0.9839,4,-0.9395,1.9765,0.0,0.0,0.0,-0.0
338,0.095,-51,-1.3659,-3,-0.1895,0,-0.1051,-9,-1.0335,-11,-0.9942,1.9765,0.0,0.0,0.0,-0.0
348,0.095,9,-1.4634,-18,-0.1766,0,-0.1184,-24,-1.086,4,-1.0483,1.9765,0.0,0.0,0.0,-0.0
357,0.094,-21,-1.5626,-3,-0.1676,15,-0.1299,-9,-1.1425,-11,-1.1018,1.9765,0.0,0.0,0.0,-0.0
366,0.094,-6,-1.662,-3,-0.1612,15,-0.1371,6,-1.2002,-11,-1.1561,1.9765,0.0,0.0,0.0,-0.0
375,0.094,-21,-1.763,12,-0.1546,0,-0.1401,-9,-1.2566,4,-1.2111,1.9765,0.0,0.0,0.0,-0.0
386,0.095,-21,-1.8668,-3,-0.1466,0,-0.1417,-9,-1.3129,-11,-1.2655,1.9765,0.0,0.0,0.0,-0.0
395,0.094,-6,-1.9732,-3,-0.1384,0,-0.1432,-24,-1.3717,-11,-1.3205,1.9765,0.0,0.0,0.0,-0.0
404,0.094,-21,-2.0809,12,-0.1302,15,-0.1432,6,-1.4329,-11,-1.3775,1.9765,0.0,0.0,0.0,-0.0
413,0.094,-21,-2.1911,-3,-0.1205,0,-0.1406,-9,-1.4939,-11,-1.4363,1.9765,0.0,0.0,0.0,-0.0
423,0.095,-6,-2.3036,-3,-0.1108,0,-0.1367,-9,-1.5546,-11,-1.497,1.9765,0.0,0.0,0.0,-0.0
433,0.095,-21,-2.4172,12,-0.1011,-15,-0.1342,-9,-1.6163,4,-1.5581,1.9765,0.0,0.0,0.0,-0.0
442,0.094,-21,-2.5329,-3,-0.09,0,-0.1343,-9,-1.679,-11,-1.6183,1.9765,0.0,0.0,0.0,-0.0
451,0.094,-21,-2.6521,-18,-0.0802,0,-0.1357,-9,-1.7426,-11,-1.6788,1.9765,0.0,0.0,0.0,-0.0
461,0.095,-21,-2.7747,-18,-0.0756,0,-0.137,-9,-1.8071,-11,-1.7411,1.9765,0.0,0.0,0.0,-0.0
471,0.096,-21,-2.9003,-3,-0.0762,0,-0.1382,-9,-1.8724,-11,-1.8049,1.9765,0.0,0.0,0.0,-0.0
480,0.094,-21,-3.0291,-3,-0.079,0,-0.1393,6,-1.9372,-11,-1.8703,1.9765,0.0,0.0,0.0,-0.0
489,0.094,-21,-3.1607,12,-0.0815,-15,-0.1417,-9,-2.0001,4,-1.9359,1.9765,0.0,0.0,0.0,-0.0
499,0.095,-6,-3.2939,-3,-0.0824,0,-0.1466,6,-2.0612,-11,-2.0003,1.9765,0.0,0.0,0.0,-0.0
508,0.095,-21,-3.4271,12,-0.0816,0,-0.1526,-9,-2.1205,-26,-2.0662,1.9765,0.0,0.0,0.0,-0.0
518,0.095,-6,-3.5603,-18,-0.0805,15,-0.1571,-24,-2.1806,-11,-2.1361,1.9765,0.0,0.0,0.0,-0.0
528,0.095,-6,-3.6923,-18,-0.0831,-30,-0.1615,186,-2.2271,4,-2.2073,1.9765,0.0,0.0,0.0,-0.0
537,0.095,-21,-3.8228,-3,-0.0906,0,-0.1696,-9,-2.2417,-11,-2.277,1.9765,0.0,0.0,0.0,-0.0
546,0.095,-21,-3.9547,-3,-0.1003,0,-0.1801,-9,-2.2413,-11,-2.3467,1.9765,0.0,0.0,0.0,-0.0
556,0.095,-6,-4.0877,-3,-0.1107,0,-0.1902,-9,-2.2432,-11,-2.4176,1.9765,0.0,0.0,0.0,-0.0
566,0.095,-6,-4.2193,-3,-0.1219,0,-0.2,-9,-2.2475,-11,-2.4896,1.9765,0.0,0.0,0.0,-0.0
575,0.095,-51,-4.3519,12,-0.1325,0,-0.2095,-9,-2.254,-26,-2.564,1.9765,0.0,0.0,0.0,-0.0
584,0.095,-21,-4.4909,-18,-0.1425,0,-0.2186,-9,-2.2627,-11,-2.6421,1.9765,0.0,0.0,0.0,-0.0
593,0.094,-6,-4.6333,-18,-0.1558,-15,-0.2288,-9,-2.2735,-11,-2.7224,1.9765,0.0,0.0,0.0,-0.0
603,0.095,-21,-4.7751,-3,-0.1738,0,-0.2412,6,-2.2851,4,-2.8021,1.9765,0.0,0.0,0.0,-0.0
613,0.095,-21,-4.9176,-3,-0.1936,0,-0.2546,-9,-2.2962,4,-2.8787,1.9765,0.0,0.0,0.0,-0.0
622,0.094,-21,-5.0619,-18,-0.2151,0,-0.2675,-24,-2.3092,-11,-2.9521,1.9765,0.0,0.0,0.0,-0.0
631,0.094,-6,-5.2067,-3,-0.2398,0,-0.2799,6,-2.3257,-11,-3.0252,1.9765,0.0,0.0,0.0,-0.0
641,0.095,-6,-5.3493,-18,-0.2673,0,-0.292,-9,-2.3427,-11,-3.0991,1.9765,0.0,0.0,0.0,-0.0
650,0.094,54,-5.4831,12,-0.2965,0,-0.3036,6,-2.3589,-11,-3.1738,1.9765,0.0,0.0,0.0,0.0
660,0.094,-66,-5.6083,-18,-0.3258,0,-0.3148,-9,-2.3745,-11,-3.2494,1.9765,0.0,0.0,0.0,0.0
669,0.094,-21,-5.7369,-3,-0.3566,0,-0.3256,6,-2.3893,4,-3.3243,1.9765,0.0,0.0,0.0,0.0
